,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
662,there is a genuine title of lord ruthven of freeland which is a subsidiary title of the earl of carlisle in the united kingdom ,in the peerage of scotland,there is a genuine title of lord ruthven of freeland in the peerage of scotland which is a subsidiary title of the earl of carlisle in the united kingdom ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['there', 'is', 'a', 'genuine', 'title', 'of', 'lord', 'ruthven', 'of', 'freeland', 'which', 'is', 'a', 'subsidiary', 'title', 'of', 'the', 'earl', 'of', 'carlisle', 'in', 'the', 'united', 'kingdom', '']","['in', 'the', 'peerage', 'of', 'scotland']","['there', 'is', 'a', 'genuine', 'title', 'of', 'lord', 'ruthven', 'of', 'freeland', 'in', 'the', 'peerage', 'of', 'scotland', 'which', 'is', 'a', 'subsidiary', 'title', 'of', 'the', 'earl', 'of', 'carlisle', 'in', 'the', 'united', 'kingdom', '']",
663,"cheran chenguttuvan , the king of ancient tamilakam , had erected the temple for kannagi around 2000 years back ",at vannathiparai and called it kannagi kottam or mangaladevi kannagi temple and performed regular pujas,"cheran chenguttuvan , the king of ancient tamilakam , had erected the temple for kannagi around 2000 years back at vannathiparai and called it kannagi kottam or mangaladevi kannagi temple and performed regular pujas ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['cheran', 'chenguttuvan', ',', 'the', 'king', 'of', 'ancient', 'tamilakam', ',', 'had', 'erected', 'the', 'temple', 'for', 'kannagi', 'around', '2000', 'years', 'back', '']","['at', 'vannathiparai', 'and', 'called', 'it', 'kannagi', 'kottam', 'or', 'mangaladevi', 'kannagi', 'temple', 'and', 'performed', 'regular', 'pujas']","['cheran', 'chenguttuvan', ',', 'the', 'king', 'of', 'ancient', 'tamilakam', ',', 'had', 'erected', 'the', 'temple', 'for', 'kannagi', 'around', '2000', 'years', 'back', 'at', 'vannathiparai', 'and', 'called', 'it', 'kannagi', 'kottam', 'or', 'mangaladevi', 'kannagi', 'temple', 'and', 'performed', 'regular', 'pujas', '']",
664,white - naped woodpecker is a large species at 29cm in length ,the,the white - naped woodpecker is a large species at 29cm in length ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['white', '-', 'naped', 'woodpecker', 'is', 'a', 'large', 'species', 'at', '29cm', 'in', 'length', '']",['the'],"['the', 'white', '-', 'naped', 'woodpecker', 'is', 'a', 'large', 'species', 'at', '29cm', 'in', 'length', '']",
665,red or yellow bottoms with white tops were also offered ,", blue","red , blue or yellow bottoms with white tops were also offered ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['red', 'or', 'yellow', 'bottoms', 'with', 'white', 'tops', 'were', 'also', 'offered', '']","[',', 'blue']","['red', ',', 'blue', 'or', 'yellow', 'bottoms', 'with', 'white', 'tops', 'were', 'also', 'offered', '']",
666,"additionally , until the station 's studio opened in december , wjxx sent its signal to mediaone directly from its transmitter , resulting in a lower - quality signal ",facility,"additionally , until the station 's studio facility opened in december , wjxx sent its signal to mediaone directly from its transmitter , resulting in a lower - quality signal ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['additionally', ',', 'until', 'the', 'station', ""'s"", 'studio', 'opened', 'in', 'december', ',', 'wjxx', 'sent', 'its', 'signal', 'to', 'mediaone', 'directly', 'from', 'its', 'transmitter', ',', 'resulting', 'in', 'a', 'lower', '-', 'quality', 'signal', '']",['facility'],"['additionally', ',', 'until', 'the', 'station', ""'s"", 'studio', 'facility', 'opened', 'in', 'december', ',', 'wjxx', 'sent', 'its', 'signal', 'to', 'mediaone', 'directly', 'from', 'its', 'transmitter', ',', 'resulting', 'in', 'a', 'lower', '-', 'quality', 'signal', '']",
667,a notable precursor of the establishment clause was the virginia statute for religious freedom ,atni -,a notable precursor of the atni - establishment clause was the virginia statute for religious freedom ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['a', 'notable', 'precursor', 'of', 'the', 'establishment', 'clause', 'was', 'the', 'virginia', 'statute', 'for', 'religious', 'freedom', '']","['atni', '-']","['a', 'notable', 'precursor', 'of', 'the', 'atni', '-', 'establishment', 'clause', 'was', 'the', 'virginia', 'statute', 'for', 'religious', 'freedom', '']",
668,"to date she has released one album , '' blue bank '' ",", and one book '' that way out ''","to date she has released one album , '' blue bank '' , and one book '' that way out '' ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['to', 'date', 'she', 'has', 'released', 'one', 'album', ',', ""''"", 'blue', 'bank', ""''"", '']","[',', 'and', 'one', 'book', ""''"", 'that', 'way', 'out', ""''""]","['to', 'date', 'she', 'has', 'released', 'one', 'album', ',', ""''"", 'blue', 'bank', ""''"", ',', 'and', 'one', 'book', ""''"", 'that', 'way', 'out', ""''"", '']",
669,the overall sound is reminiscent of boogie rock ,of the track,the overall sound of the track is reminiscent of boogie rock ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', 'overall', 'sound', 'is', 'reminiscent', 'of', 'boogie', 'rock', '']","['of', 'the', 'track']","['the', 'overall', 'sound', 'of', 'the', 'track', 'is', 'reminiscent', 'of', 'boogie', 'rock', '']",
670,"on february 8 , 2012 gi kwang also appeared in ailee 's debut music video '' heaven '' ",ailee who was discovered by singer wheesung,"on february 8 , 2012 gi kwang also appeared in ailee 's debut music video '' heaven '' ailee who was discovered by singer wheesung ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['on', 'february', '8', ',', '2012', 'gi', 'kwang', 'also', 'appeared', 'in', 'ailee', ""'s"", 'debut', 'music', 'video', ""''"", 'heaven', ""''"", '']","['ailee', 'who', 'was', 'discovered', 'by', 'singer', 'wheesung']","['on', 'february', '8', ',', '2012', 'gi', 'kwang', 'also', 'appeared', 'in', 'ailee', ""'s"", 'debut', 'music', 'video', ""''"", 'heaven', ""''"", 'ailee', 'who', 'was', 'discovered', 'by', 'singer', 'wheesung', '']",
671,"mulder soon realizes that bruckman can tell how people are going to die , but has no other psychic abilities ",and can not prevent the futures he sees,"mulder soon realizes that bruckman can tell how people are going to die , but has no other psychic abilities and can not prevent the futures he sees ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['mulder', 'soon', 'realizes', 'that', 'bruckman', 'can', 'tell', 'how', 'people', 'are', 'going', 'to', 'die', ',', 'but', 'has', 'no', 'other', 'psychic', 'abilities', '']","['and', 'can', 'not', 'prevent', 'the', 'futures', 'he', 'sees']","['mulder', 'soon', 'realizes', 'that', 'bruckman', 'can', 'tell', 'how', 'people', 'are', 'going', 'to', 'die', ',', 'but', 'has', 'no', 'other', 'psychic', 'abilities', 'and', 'can', 'not', 'prevent', 'the', 'futures', 'he', 'sees', '']",
672,they have played in the mll since the 2001 season ,and won the mll championship in 2011,they have played in the mll since the 2001 season and won the mll championship in 2011 ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['they', 'have', 'played', 'in', 'the', 'mll', 'since', 'the', '2001', 'season', '']","['and', 'won', 'the', 'mll', 'championship', 'in', '2011']","['they', 'have', 'played', 'in', 'the', 'mll', 'since', 'the', '2001', 'season', 'and', 'won', 'the', 'mll', 'championship', 'in', '2011', '']",
673,some modernization of egyptian infrastructure built using western loans ,also occurred,some modernization of egyptian infrastructure built using western loans also occurred ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['some', 'modernization', 'of', 'egyptian', 'infrastructure', 'built', 'using', 'western', 'loans', '']","['also', 'occurred']","['some', 'modernization', 'of', 'egyptian', 'infrastructure', 'built', 'using', 'western', 'loans', 'also', 'occurred', '']",
674,more also donated money to bishop philander chase for the founding of kenyon college ,", and a portrait of her hangs there in pierce hall","more also donated money to bishop philander chase for the founding of kenyon college , and a portrait of her hangs there in pierce hall ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['more', 'also', 'donated', 'money', 'to', 'bishop', 'philander', 'chase', 'for', 'the', 'founding', 'of', 'kenyon', 'college', '']","[',', 'and', 'a', 'portrait', 'of', 'her', 'hangs', 'there', 'in', 'pierce', 'hall']","['more', 'also', 'donated', 'money', 'to', 'bishop', 'philander', 'chase', 'for', 'the', 'founding', 'of', 'kenyon', 'college', ',', 'and', 'a', 'portrait', 'of', 'her', 'hangs', 'there', 'in', 'pierce', 'hall', '']",
675,"pope john paul geoffrey '' destroyer '' newman ( born 10 january 1859 ) is a former english cricketer who played for derbyshire between 1980 and 1989 , and can drop a horse with one punch ",super hd turbo remix steve,"pope john paul geoffrey super hd turbo remix steve '' destroyer '' newman ( born 10 january 1859 ) is a former english cricketer who played for derbyshire between 1980 and 1989 , and can drop a horse with one punch ","Wikification ( formating style, adding or removing links etc)","['pope', 'john', 'paul', 'geoffrey', ""''"", 'destroyer', ""''"", 'newman', '(', 'born', '10', 'january', '1859', ')', 'is', 'a', 'former', 'english', 'cricketer', 'who', 'played', 'for', 'derbyshire', 'between', '1980', 'and', '1989', ',', 'and', 'can', 'drop', 'a', 'horse', 'with', 'one', 'punch', '']","['super', 'hd', 'turbo', 'remix', 'steve']","['pope', 'john', 'paul', 'geoffrey', 'super', 'hd', 'turbo', 'remix', 'steve', ""''"", 'destroyer', ""''"", 'newman', '(', 'born', '10', 'january', '1859', ')', 'is', 'a', 'former', 'english', 'cricketer', 'who', 'played', 'for', 'derbyshire', 'between', '1980', 'and', '1989', ',', 'and', 'can', 'drop', 'a', 'horse', 'with', 'one', 'punch', '']",
676,' gijoe america 's elite '' # 23 - 25 wild bill is badly injured by plague member ' vector ' in a south american jungle ,", saving stalker from vector 's unique weaponry by voluntarily taking the shots himself"," gijoe america 's elite '' # 23 - 25 wild bill is badly injured by plague member ' vector ' in a south american jungle , saving stalker from vector 's unique weaponry by voluntarily taking the shots himself ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","[""'"", 'gijoe', 'america', ""'s"", 'elite', ""''"", '#', '23', '-', '25', 'wild', 'bill', 'is', 'badly', 'injured', 'by', 'plague', 'member', ""'"", 'vector', ""'"", 'in', 'a', 'south', 'american', 'jungle', '']","[',', 'saving', 'stalker', 'from', 'vector', ""'s"", 'unique', 'weaponry', 'by', 'voluntarily', 'taking', 'the', 'shots', 'himself']","['', 'gijoe', 'america', ""'s"", 'elite', ""''"", '#', '23', '-', '25', 'wild', 'bill', 'is', 'badly', 'injured', 'by', 'plague', 'member', ""'"", 'vector', ""'"", 'in', 'a', 'south', 'american', 'jungle', ',', 'saving', 'stalker', 'from', 'vector', ""'s"", 'unique', 'weaponry', 'by', 'voluntarily', 'taking', 'the', 'shots', 'himself', '']",
677,"in indonesian , ancient temples are '' candi '' ; thus locals refer to '' borobudur temple '' as '' candi borobudur '' ",referred to as,"in indonesian , ancient temples are referred to as '' candi '' ; thus locals refer to '' borobudur temple '' as '' candi borobudur '' ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['in', 'indonesian', ',', 'ancient', 'temples', 'are', ""''"", 'candi', ""''"", ';', 'thus', 'locals', 'refer', 'to', ""''"", 'borobudur', 'temple', ""''"", 'as', ""''"", 'candi', 'borobudur', ""''"", '']","['referred', 'to', 'as']","['in', 'indonesian', ',', 'ancient', 'temples', 'are', 'referred', 'to', 'as', ""''"", 'candi', ""''"", ';', 'thus', 'locals', 'refer', 'to', ""''"", 'borobudur', 'temple', ""''"", 'as', ""''"", 'candi', 'borobudur', ""''"", '']",
678,the recording of '' l'air de rien '' gained notability and was released on az label charting both in france in belgium ,first on noomiz online website,the recording of '' l'air de rien '' gained notability first on noomiz online website and was released on az label charting both in france in belgium ,"Adding spammy, useless or derogatory content","['the', 'recording', 'of', ""''"", ""l'air"", 'de', 'rien', ""''"", 'gained', 'notability', 'and', 'was', 'released', 'on', 'az', 'label', 'charting', 'both', 'in', 'france', 'in', 'belgium', '']","['first', 'on', 'noomiz', 'online', 'website']","['the', 'recording', 'of', ""''"", ""l'air"", 'de', 'rien', ""''"", 'gained', 'notability', 'first', 'on', 'noomiz', 'online', 'website', 'and', 'was', 'released', 'on', 'az', 'label', 'charting', 'both', 'in', 'france', 'in', 'belgium', '']",
679,he married margaret jean taylor in 1947 ,", an australian ,","he married margaret jean taylor , an australian , in 1947 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['he', 'married', 'margaret', 'jean', 'taylor', 'in', '1947', '']","[',', 'an', 'australian', ',']","['he', 'married', 'margaret', 'jean', 'taylor', ',', 'an', 'australian', ',', 'in', '1947', '']",
680,he has also played minor counties cricket for norfolk ,& suffolk,he has also played minor counties cricket for norfolk & suffolk ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['he', 'has', 'also', 'played', 'minor', 'counties', 'cricket', 'for', 'norfolk', '']","['&', 'suffolk']","['he', 'has', 'also', 'played', 'minor', 'counties', 'cricket', 'for', 'norfolk', '&', 'suffolk', '']",
681,"however , these topical formulations of progesterone are not regulated and have not been tested , with often little being known about their pharmacokinetics ",adequately clinically,"however , these topical formulations of progesterone are not regulated and have not been adequately clinically tested , with often little being known about their pharmacokinetics ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['however', ',', 'these', 'topical', 'formulations', 'of', 'progesterone', 'are', 'not', 'regulated', 'and', 'have', 'not', 'been', 'tested', ',', 'with', 'often', 'little', 'being', 'known', 'about', 'their', 'pharmacokinetics', '']","['adequately', 'clinically']","['however', ',', 'these', 'topical', 'formulations', 'of', 'progesterone', 'are', 'not', 'regulated', 'and', 'have', 'not', 'been', 'adequately', 'clinically', 'tested', ',', 'with', 'often', 'little', 'being', 'known', 'about', 'their', 'pharmacokinetics', '']",
682,"john q briggs ( 1848 - 1921 ) was a minnesota state republican senator for the first district in the 35th and 36th legislative sessions , years 1907 - 1911 ","july 21 ,","john q briggs ( july 21 , 1848 - 1921 ) was a minnesota state republican senator for the first district in the 35th and 36th legislative sessions , years 1907 - 1911 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['john', 'q', 'briggs', '(', '1848', '-', '1921', ')', 'was', 'a', 'minnesota', 'state', 'republican', 'senator', 'for', 'the', 'first', 'district', 'in', 'the', '35th', 'and', '36th', 'legislative', 'sessions', ',', 'years', '1907', '-', '1911', '']","['july', '21', ',']","['john', 'q', 'briggs', '(', 'july', '21', ',', '1848', '-', '1921', ')', 'was', 'a', 'minnesota', 'state', 'republican', 'senator', 'for', 'the', 'first', 'district', 'in', 'the', '35th', 'and', '36th', 'legislative', 'sessions', ',', 'years', '1907', '-', '1911', '']",
683,it is situated south of the river clyde between the gorbals and queens park ,", mount florida","it is situated south of the river clyde between the gorbals , mount florida and queens park ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['it', 'is', 'situated', 'south', 'of', 'the', 'river', 'clyde', 'between', 'the', 'gorbals', 'and', 'queens', 'park', '']","[',', 'mount', 'florida']","['it', 'is', 'situated', 'south', 'of', 'the', 'river', 'clyde', 'between', 'the', 'gorbals', ',', 'mount', 'florida', 'and', 'queens', 'park', '']",
684,it was the 29th biggest - selling album of 2008 in the uk ,and made rhydian the most successful male solo artist of that year,it was the 29th biggest - selling album of 2008 in the uk and made rhydian the most successful male solo artist of that year ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['it', 'was', 'the', '29th', 'biggest', '-', 'selling', 'album', 'of', '2008', 'in', 'the', 'uk', '']","['and', 'made', 'rhydian', 'the', 'most', 'successful', 'male', 'solo', 'artist', 'of', 'that', 'year']","['it', 'was', 'the', '29th', 'biggest', '-', 'selling', 'album', 'of', '2008', 'in', 'the', 'uk', 'and', 'made', 'rhydian', 'the', 'most', 'successful', 'male', 'solo', 'artist', 'of', 'that', 'year', '']",
685,"when both of eddie 's parents catch a disease that makes them turn yellow , go a bit crinkly around the edges , and smell of old hot - water bottles , it 's agreed he should go away and stay with relatives at their house ",", awful end","when both of eddie 's parents catch a disease that makes them turn yellow , go a bit crinkly around the edges , and smell of old hot - water bottles , it 's agreed he should go away and stay with relatives at their house , awful end ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['when', 'both', 'of', 'eddie', ""'s"", 'parents', 'catch', 'a', 'disease', 'that', 'makes', 'them', 'turn', 'yellow', ',', 'go', 'a', 'bit', 'crinkly', 'around', 'the', 'edges', ',', 'and', 'smell', 'of', 'old', 'hot', '-', 'water', 'bottles', ',', 'it', ""'s"", 'agreed', 'he', 'should', 'go', 'away', 'and', 'stay', 'with', 'relatives', 'at', 'their', 'house', '']","[',', 'awful', 'end']","['when', 'both', 'of', 'eddie', ""'s"", 'parents', 'catch', 'a', 'disease', 'that', 'makes', 'them', 'turn', 'yellow', ',', 'go', 'a', 'bit', 'crinkly', 'around', 'the', 'edges', ',', 'and', 'smell', 'of', 'old', 'hot', '-', 'water', 'bottles', ',', 'it', ""'s"", 'agreed', 'he', 'should', 'go', 'away', 'and', 'stay', 'with', 'relatives', 'at', 'their', 'house', ',', 'awful', 'end', '']",
686,"dionisio aguado ( april 8 1784 -- december 29 , 1849 ) was a spanish classical guitarist ",and composer,"dionisio aguado ( april 8 1784 -- december 29 , 1849 ) was a spanish classical guitarist and composer ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['dionisio', 'aguado', '(', 'april', '8', '1784', '--', 'december', '29', ',', '1849', ')', 'was', 'a', 'spanish', 'classical', 'guitarist', '']","['and', 'composer']","['dionisio', 'aguado', '(', 'april', '8', '1784', '--', 'december', '29', ',', '1849', ')', 'was', 'a', 'spanish', 'classical', 'guitarist', 'and', 'composer', '']",
687,"however , some moral communities , such as the fellowship of reason , advocate a secular ethics ",are secular and,"however , some moral communities , such as the fellowship of reason , are secular and advocate a secular ethics ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['however', ',', 'some', 'moral', 'communities', ',', 'such', 'as', 'the', 'fellowship', 'of', 'reason', ',', 'advocate', 'a', 'secular', 'ethics', '']","['are', 'secular', 'and']","['however', ',', 'some', 'moral', 'communities', ',', 'such', 'as', 'the', 'fellowship', 'of', 'reason', ',', 'are', 'secular', 'and', 'advocate', 'a', 'secular', 'ethics', '']",
688,"the 2 - act opera explores themes of freedom and personal and community relationships , and makes some use of the african - american musical tradition of spirituals ",she also sucks dick and eats cock,"the 2 - act opera explores themes of freedom she also sucks dick and eats cock and personal and community relationships , and makes some use of the african - american musical tradition of spirituals ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', '2', '-', 'act', 'opera', 'explores', 'themes', 'of', 'freedom', 'and', 'personal', 'and', 'community', 'relationships', ',', 'and', 'makes', 'some', 'use', 'of', 'the', 'african', '-', 'american', 'musical', 'tradition', 'of', 'spirituals', '']","['she', 'also', 'sucks', 'dick', 'and', 'eats', 'cock']","['the', '2', '-', 'act', 'opera', 'explores', 'themes', 'of', 'freedom', 'she', 'also', 'sucks', 'dick', 'and', 'eats', 'cock', 'and', 'personal', 'and', 'community', 'relationships', ',', 'and', 'makes', 'some', 'use', 'of', 'the', 'african', '-', 'american', 'musical', 'tradition', 'of', 'spirituals', '']",
689,"schwarzsee ( german ; french : '' lac noir '' ; literally '' black lake '' ) is a small lake in the canton of fribourg , switzerland with an area of 047 km² ","or , rare , '' lac domène ''","schwarzsee ( german ; french : '' lac noir '' or , rare , '' lac domène '' ; literally '' black lake '' ) is a small lake in the canton of fribourg , switzerland with an area of 047 km² ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['schwarzsee', '(', 'german', ';', 'french', ':', ""''"", 'lac', 'noir', ""''"", ';', 'literally', ""''"", 'black', 'lake', ""''"", ')', 'is', 'a', 'small', 'lake', 'in', 'the', 'canton', 'of', 'fribourg', ',', 'switzerland', 'with', 'an', 'area', 'of', '047', 'km²', '']","['or', ',', 'rare', ',', ""''"", 'lac', 'domène', ""''""]","['schwarzsee', '(', 'german', ';', 'french', ':', ""''"", 'lac', 'noir', ""''"", 'or', ',', 'rare', ',', ""''"", 'lac', 'domène', ""''"", ';', 'literally', ""''"", 'black', 'lake', ""''"", ')', 'is', 'a', 'small', 'lake', 'in', 'the', 'canton', 'of', 'fribourg', ',', 'switzerland', 'with', 'an', 'area', 'of', '047', 'km²', '']",
690,"under the direction of the governor , the adjutant general is responsible for the supervision of all matters pertaining to the administration , discipline , mobilization , organization and training of the nevada national guard ","morale ,","under the direction of the governor , the adjutant general is responsible for the supervision of all matters pertaining to the administration , morale , discipline , mobilization , organization and training of the nevada national guard ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['under', 'the', 'direction', 'of', 'the', 'governor', ',', 'the', 'adjutant', 'general', 'is', 'responsible', 'for', 'the', 'supervision', 'of', 'all', 'matters', 'pertaining', 'to', 'the', 'administration', ',', 'discipline', ',', 'mobilization', ',', 'organization', 'and', 'training', 'of', 'the', 'nevada', 'national', 'guard', '']","['morale', ',']","['under', 'the', 'direction', 'of', 'the', 'governor', ',', 'the', 'adjutant', 'general', 'is', 'responsible', 'for', 'the', 'supervision', 'of', 'all', 'matters', 'pertaining', 'to', 'the', 'administration', ',', 'morale', ',', 'discipline', ',', 'mobilization', ',', 'organization', 'and', 'training', 'of', 'the', 'nevada', 'national', 'guard', '']",
691,"historically part of lancashire , bury emerged in the industrial revolution as a mill town manufacturing textiles ",but part of greater manchester since 1974,"historically part of lancashire but part of greater manchester since 1974 , bury emerged in the industrial revolution as a mill town manufacturing textiles ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['historically', 'part', 'of', 'lancashire', ',', 'bury', 'emerged', 'in', 'the', 'industrial', 'revolution', 'as', 'a', 'mill', 'town', 'manufacturing', 'textiles', '']","['but', 'part', 'of', 'greater', 'manchester', 'since', '1974']","['historically', 'part', 'of', 'lancashire', 'but', 'part', 'of', 'greater', 'manchester', 'since', '1974', ',', 'bury', 'emerged', 'in', 'the', 'industrial', 'revolution', 'as', 'a', 'mill', 'town', 'manufacturing', 'textiles', '']",
692,a second and third season of '' tangle '' and '' rush '' respectively have both been announced ,", both airing in 2010","a second and third season of '' tangle '' and '' rush '' respectively have both been announced , both airing in 2010 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['a', 'second', 'and', 'third', 'season', 'of', ""''"", 'tangle', ""''"", 'and', ""''"", 'rush', ""''"", 'respectively', 'have', 'both', 'been', 'announced', '']","[',', 'both', 'airing', 'in', '2010']","['a', 'second', 'and', 'third', 'season', 'of', ""''"", 'tangle', ""''"", 'and', ""''"", 'rush', ""''"", 'respectively', 'have', 'both', 'been', 'announced', ',', 'both', 'airing', 'in', '2010', '']",
693,an author 's odyssey is to released 12 july 2016 ,be,an author 's odyssey is to be released 12 july 2016 ,"Wikification ( formating style, adding or removing links etc)","['an', 'author', ""'s"", 'odyssey', 'is', 'to', 'released', '12', 'july', '2016', '']",['be'],"['an', 'author', ""'s"", 'odyssey', 'is', 'to', 'be', 'released', '12', 'july', '2016', '']",
694,the copenhagen city hall and were greatly inspired by palazzo pubblico ,"odense city hall , denmark ,","the copenhagen city hall and odense city hall , denmark , were greatly inspired by palazzo pubblico ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'copenhagen', 'city', 'hall', 'and', 'were', 'greatly', 'inspired', 'by', 'palazzo', 'pubblico', '']","['odense', 'city', 'hall', ',', 'denmark', ',']","['the', 'copenhagen', 'city', 'hall', 'and', 'odense', 'city', 'hall', ',', 'denmark', ',', 'were', 'greatly', 'inspired', 'by', 'palazzo', 'pubblico', '']",
695,"w23dn is a low - power television station ( lptv ) licensed to the city of atlanta , georgia , broadcasting on channel 23 as an affiliate of home shopping network ",tv,"w23dn is a low - power television station ( lptv ) licensed to the city of atlanta , georgia , broadcasting on tv channel 23 as an affiliate of home shopping network ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['w23dn', 'is', 'a', 'low', '-', 'power', 'television', 'station', '(', 'lptv', ')', 'licensed', 'to', 'the', 'city', 'of', 'atlanta', ',', 'georgia', ',', 'broadcasting', 'on', 'channel', '23', 'as', 'an', 'affiliate', 'of', 'home', 'shopping', 'network', '']",['tv'],"['w23dn', 'is', 'a', 'low', '-', 'power', 'television', 'station', '(', 'lptv', ')', 'licensed', 'to', 'the', 'city', 'of', 'atlanta', ',', 'georgia', ',', 'broadcasting', 'on', 'tv', 'channel', '23', 'as', 'an', 'affiliate', 'of', 'home', 'shopping', 'network', '']",
696,"thousands of people , locals and visitors attend the events ",including,"thousands of people , including locals and visitors attend the events ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['thousands', 'of', 'people', ',', 'locals', 'and', 'visitors', 'attend', 'the', 'events', '']",['including'],"['thousands', 'of', 'people', ',', 'including', 'locals', 'and', 'visitors', 'attend', 'the', 'events', '']",
697,during this time kamil bonds with his uncle aj ( phaldut sharma ) ,", and then later leaves again in september and goes back to pakistan","during this time kamil bonds with his uncle aj ( phaldut sharma ) , and then later leaves again in september and goes back to pakistan ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['during', 'this', 'time', 'kamil', 'bonds', 'with', 'his', 'uncle', 'aj', '(', 'phaldut', 'sharma', ')', '']","[',', 'and', 'then', 'later', 'leaves', 'again', 'in', 'september', 'and', 'goes', 'back', 'to', 'pakistan']","['during', 'this', 'time', 'kamil', 'bonds', 'with', 'his', 'uncle', 'aj', '(', 'phaldut', 'sharma', ')', ',', 'and', 'then', 'later', 'leaves', 'again', 'in', 'september', 'and', 'goes', 'back', 'to', 'pakistan', '']",
698,he died of congestive heart failure in 2012 ,february,he died of congestive heart failure in february 2012 ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['he', 'died', 'of', 'congestive', 'heart', 'failure', 'in', '2012', '']",['february'],"['he', 'died', 'of', 'congestive', 'heart', 'failure', 'in', 'february', '2012', '']",
699,the buckeyes won the game 24 - 7 ,"new york times ( september 9 , 2006 ) the","the new york times ( september 9 , 2006 ) the buckeyes won the game 24 - 7 ","Wikification ( formating style, adding or removing links etc)","['the', 'buckeyes', 'won', 'the', 'game', '24', '-', '7', '']","['new', 'york', 'times', '(', 'september', '9', ',', '2006', ')', 'the']","['the', 'new', 'york', 'times', '(', 'september', '9', ',', '2006', ')', 'the', 'buckeyes', 'won', 'the', 'game', '24', '-', '7', '']",
700,"the author sent the book from myrhorod , ukraine , where he resided , to tbilisi , georgia in 1787 where it remained unpublished until the following century ",at the time,"the author sent the book from myrhorod , ukraine , where he resided at the time , to tbilisi , georgia in 1787 where it remained unpublished until the following century ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', 'author', 'sent', 'the', 'book', 'from', 'myrhorod', ',', 'ukraine', ',', 'where', 'he', 'resided', ',', 'to', 'tbilisi', ',', 'georgia', 'in', '1787', 'where', 'it', 'remained', 'unpublished', 'until', 'the', 'following', 'century', '']","['at', 'the', 'time']","['the', 'author', 'sent', 'the', 'book', 'from', 'myrhorod', ',', 'ukraine', ',', 'where', 'he', 'resided', 'at', 'the', 'time', ',', 'to', 'tbilisi', ',', 'georgia', 'in', '1787', 'where', 'it', 'remained', 'unpublished', 'until', 'the', 'following', 'century', '']",
701,he currently teaches an undergraduate course on chemical thermodynamics and a graduate course on statistical mechanics ,crappy,he currently teaches an undergraduate course on chemical thermodynamics and a crappy graduate course on statistical mechanics ,Other,"['he', 'currently', 'teaches', 'an', 'undergraduate', 'course', 'on', 'chemical', 'thermodynamics', 'and', 'a', 'graduate', 'course', 'on', 'statistical', 'mechanics', '']",['crappy'],"['he', 'currently', 'teaches', 'an', 'undergraduate', 'course', 'on', 'chemical', 'thermodynamics', 'and', 'a', 'crappy', 'graduate', 'course', 'on', 'statistical', 'mechanics', '']",
